,Company,Availble Jobs,Average Salary,Rating,Total Reviews
569,Tech Mahindra,432,2.8L,3.4,(42k)
570,Genpact,371,2.3L,3.6,(40.4k)
571,Teleperformance,850,95.1k,3.8,(36.2k)
572,Axis Bank,219,1L,3.6,(32k)
573,Jio,3,62.2k,4.3,(31.5k)
574,Concentrix Corporation,73,1.3L,3.6,(31.3k)
575,Amazon,1.4k,1.4L,3.9,(30.4k)
576,iEnergizer,72,23.9k,4.6,(27.3k)
577,Reliance Retail,33,74.3k,3.9,(26.8k)
578,IBM,2.6k,2.1L,3.9,(25.2k)
579,LTIMindtree,474,1.9L,3.6,(25.2k)
580,TCS,3k,9.6L,3.4,(1.1L)
581,Accenture,32.5k,6.4L,3.7,(70.5k)
582,Wipro,5.6k,4.7L,3.6,(62.6k)
583,Cognizant,836,5.9L,3.6,(59.5k)
584,Capgemini,2.1k,4.7L,3.7,(51.1k)
585,HDFC Bank,198,1.5L,3.8,(50k)
586,Infosys,2.9k,5.1L,3.5,(46.8k)
587,ICICI Bank,32,1.5L,4.0,(44.9k)
588,HCLTech,282,3.7L,3.4,(44k)
589,Tech Mahindra,432,2.8L,3.4,(42k)
590,Genpact,371,2.3L,3.6,(40.4k)
591,Teleperformance,850,95.1k,3.8,(36.2k)
592,Axis Bank,219,1L,3.6,(32k)
593,Jio,3,62.2k,4.3,(31.5k)
594,Concentrix Corporation,73,1.3L,3.6,(31.3k)
595,Amazon,1.4k,1.4L,3.9,(30.4k)
596,iEnergizer,72,23.9k,4.6,(27.3k)
597,Reliance Retail,33,74.3k,3.9,(26.8k)
598,IBM,2.6k,2.1L,3.9,(25.2k)
599,LTIMindtree,474,1.9L,3.6,(25.2k)
600,TCS,3k,9.6L,3.4,(1.1L)
601,Accenture,32.5k,6.4L,3.7,(70.5k)
602,Wipro,5.6k,4.7L,3.6,(62.6k)
603,Cognizant,836,5.9L,3.6,(59.5k)
604,Capgemini,2.1k,4.7L,3.7,(51.1k)
605,HDFC Bank,198,1.5L,3.8,(50k)
606,Infosys,2.9k,5.1L,3.5,(46.8k)
607,ICICI Bank,32,1.5L,4.0,(44.9k)
608,HCLTech,282,3.7L,3.4,(44k)
